"Derwent Innovation Patent Export, 2024-07-20 20:42:28 +0000 "
"Search results for: CMP=((""UBER"")) AND AD>=(18000101);","Collections searched: United States app; United States grant"""
Publication Number,Inventor,Publication Date,Application Date,Title - DWPI,Count of Citing Patents,Citing Patents,IPC - Current,US Class,Assignee/Applicant,Assignee - Original w/address,Optimized Assignee,Title,Abstract,Abstract - DWPI
USD794039S1,"Yeung, Stanley | Amin, Shalin | Nix, Molly",2017-08-08,2015-07-17,,35,USD815127S1 | USD815128S1 | USD819068S1 | USD825582S1 | USD829742S1 | USD829750S1 | USD832875S1 | USD836657S1 | USD836658S1 | USD836659S1 | USD845335S1 | USD846575S1 | USD854562S1 | USD855630S1 | USD855640S1 | USD857038S1 | USD859440S1 | USD859454S1 | USD859455S1 | USD859462S1 | USD863330S1 | USD869487S1 | USD870149S1 | USD870150S1 | USD870151S1 | USD882595S1 | USD895639S1 | USD904433S1 | USD907663S1 | USD921007S1 | USD923034S1 | USD923037S1 | USD970529S1 | USD988359S1 | USD999775S1,,D14485,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Display screen of a computing device with transport provider graphical user interface,,,
US9727595B2,"Hamby, Brent | Song, Zhaolei",2017-08-08,2013-09-20,"Method for selecting location responsive to location search query, involves parsing textual string to generate set of search tokens and searching location category indices to select set of index search results",0,,G06F001730,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Location searching with category indices,"A map searching system determines locations responsive to a search query. The map searching system parses the search query to generate a set of search tokens and searches a plurality of location category indices using the search tokens. The location category indicies specify indexes of locations according to various location categories, such as points of interest and cross streets. The resulting records selected from the search tokens are scored based on scoring weights specific to the location category index that a record was selected from. After scoring, a number of high-scoring records are selected as the responsive records to the location search.",The method involves receiving (300) a location search query having a textual string and parsing (310) the textual string to generate a set of search tokens. Multiple location category indices are searched (320) to select a set of index search results. Each index search result is scored (330) using scoring weights associated with the location category index. The index search result is selected (350) based on the scoring. | INDEPENDENT CLAIMS are included for the following:a computer program product for selecting a location responsive to a location search query; anda system for selecting a location responsive to a location search query. | Method for selecting a location responsive to a location search query. | The method accurately selects the index search result based on the scoring for location-based searching in efficient manner. | The drawing shows a flowchart of a method for performing a search based on a set of location category indices. 300Receiving a location search query310Parsing the textual string320Searching multiple location category indices330Scoring each index search result350Selecting the index search result,
USD795268S1,"Tsujimoto, Masato | Ng, Peter",2017-08-22,2015-08-25,,29,USD809524S1 | USD810773S1 | USD815127S1 | USD815128S1 | USD819068S1 | USD820861S1 | USD829742S1 | USD829750S1 | USD831052S1 | USD832869S1 | USD834588S1 | USD841657S1 | USD846575S1 | USD855640S1 | USD857038S1 | USD868813S1 | USD882595S1 | USD884010S1 | USD886124S1 | USD894948S1 | USD897354S1 | USD904433S1 | USD914714S1 | USD921007S1 | USD934271S1 | USD938460S1 | USD960931S1 | USD970529S1 | USD994689S1,,D14485,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Display screen computing device with graphical user interface,,,
US9740205B2,"Ross, William | Aitken, Michael",2017-08-22,2016-07-26,"Autonomous vehicle, has control system placed to implement set of configuration commands to configure communication system to transmit and receive data with backend system using specified network nodes based on localization operation",20,US10077007B2 | US10119829B2 | US10412368B2 | US10611389B2 | US10613550B2 | US10618537B2 | US10967862B2 | US11084512B2 | US11172019B1 | US11427237B2 | US11522950B2 | US11729261B2 | US11731627B2 | US11958516B2 | US12002309B2 | US12013707B2 | US12019454B2 | US20160334237A1 | US20170259753A1 | US20220070253A1,G05D000100 | G05D000102 | H04B0017318 | H04L002908 | H04W000440 | H04W000444 | H04W007204 | H04W007212 | G01C002136 | H04W008400,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Autonomous vehicle communication configuration system,"An autonomous vehicle (AV) can include a communication system to communicate with a backend system, a sensor system to collect sensor data representing an operational environment of the AV, and a control system that can processes the sensor data to (i) perform a localization operation to determine a location and an orientation of the AV within a given region, and (ii) autonomously operate the AV's acceleration, braking, and steering system throughout the given region. Based on the localization operation, the AV can implement a set of configuration commands to configure the communication system to transmit and receive data with the backend system using a number of specified network nodes.","The vehicle has a control system placed process a sensor data to perform a localization operation to determine a location and an orientation of an autonomous vehicle (AV) (420) within a given region (405), and autonomously operate an acceleration, braking, and steering system throughout the given region. The control system is placed to implement a set of configuration commands to configure a communication system to transmit and receive data with a backend system using a number of specified network nodes based on the localization operation. | INDEPENDENT CLAIMS are also included for the following:a communication configuration system for a fleet of AVs in a given regiona computer-implemented method for managing communications between a backend system and a fleet of AVs. | AV. | The vehicle allows localization to enable the AV to tune or beam steer a communications array to maximize communication link quality and minimize interference with other communications from other AVs. The backend system can coordinate the AV and proximate AVs to dynamically form mesh networks to relay communications through optimal lowest-cost/highest bandwidth networks. | The drawing shows a schematic view of a network resource map. 400Network resource map405Datacenter region411Microwave relay tower420AV430Mesh network",
USD795886S1,"Ng, Peter | Larus, Mark",2017-08-29,2015-03-09,,65,US10862906B2 | US11857763B2 | US11865299B2 | US11929158B2 | US11969579B2 | USD1006044S1 | USD1011367S1 | USD1012944S1 | USD1018574S1 | USD1020794S1 | USD1024090S1 | USD1024092S1 | USD1024132S1 | USD1033467S1 | USD803855S1 | USD803879S1 | USD806119S1 | USD808983S1 | USD808984S1 | USD808986S1 | USD821440S1 | USD824936S1 | USD825587S1 | USD831673S1 | USD835139S1 | USD842338S1 | USD847836S1 | USD847837S1 | USD848459S1 | USD853417S1 | USD854550S1 | USD868094S1 | USD873279S1 | USD875106S1 | USD875135S1 | USD877194S1 | USD883307S1 | USD887445S1 | USD887446S1 | USD887447S1 | USD888099S1 | USD889490S1 | USD893544S1 | USD898755S1 | USD901515S1 | USD902250S1 | USD904422S1 | USD904434S1 | USD911352S1 | USD915436S1 | USD916101S1 | USD916103S1 | USD916896S1 | USD918263S1 | USD936075S1 | USD949903S1 | USD951268S1 | USD954082S1 | USD954732S1 | USD970536S1 | USD975726S1 | USD977502S1 | USD986915S1 | USD989120S1 | USD995555S1,,D14485 | D14489,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Display screen with graphical user interface,,,
US9762601B2,"Truong, Michael | Purdy, David | Mawas, Rami",2017-09-12,2015-06-17,"Anomaly detection system for providing transport service in current route to facilitate passenger and driver safety, has processor for performing actions in accordance with safety protocol in response to determining probable anomaly",32,US10019904B1 | US10204518B1 | US10222228B1 | US10233679B1 | US10282681B2 | US10282981B1 | US10403150B1 | US10428559B1 | US10486708B1 | US10571283B1 | US10584518B1 | US10593197B1 | US10641611B1 | US10762789B1 | US10818113B1 | US10829966B1 | US10872379B1 | US10895471B1 | US10909477B2 | US10930158B1 | US10933881B1 | US10988960B1 | US10989556B1 | US10991181B1 | US11024157B1 | US11205340B2 | US11257377B1 | US11498537B1 | US11656094B1 | US11727495B1 | US11851041B1 | US20180240054A1,H04L002906 | H04W000402 | H04L002908 | H04W0004029 | H04W000440 | H04W000490,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Trip anomaly detection system,"An anomaly detection system is provided in connection with a transport service. The anomaly detection system can construct routine route profiles for individual users of the transport service using historical route data. The anomaly detection system can monitor a current route traveled by a user. The anomaly detection system can further identify a matching routine route profile of the respective user. The anomaly detection system can utilize the matching routine route profile to identify a probable anomaly in the current route. In response to detecting the probable anomaly, the anomaly detection system can enable a safety protocol to perform a number of actions.","The system (101) has processors for using historical route data (117), construct routine route profiles (134) for users of transport service. The processor monitors a current route (119) traveled by a respective one of the users. The processor identifies a matching routine route profile (133) of the respective user. The processor determines a probable anomaly in the current route based on the matching routine route profile. The processor performs actions in accordance with a safety protocol in response to determining the probable anomaly. | INDEPENDENT CLAIMS are also included for the following:a non-transitory computer readable medium comprising a set of instructions for detecting route anomaliesa computer-implemented method for detecting route anomalies. | Anomaly detection system for providing a transport service in a current route using routine route profiles to facilitate passenger and driver safety by a mobile device such as cellular devices, smartphones, personal digital assistants (PDAs). Can also be used for tablet devices, laptop computers, TV, printers, digital picture frames and network equipment such as routers. | The system utilizes memory resources to store applications for linking a mobile computing device with a network service that enables or facilitates drivers' and users' ability to efficiently request transport services and pick-up requests. | The drawing shows a block diagram of a system for detecting an anomaly in a current route using routine route profiles. 101Anomaly detection system117Historical route data119Current route133Matching routine route profile134Construct routine route profiles",
US9762549B2,"Kent, Jr., Larry G. | Daniell, W. Todd | Davis, Joel A. | Daigle, Brian K.",2017-09-12,2015-04-20,"Method for deploying instant messaging private tags, involves decrypting second set of sensitive data using decryption type identified by second name and value pair identified by second set of private tags",2,US10225281B2 | US10798122B2,G06Q001010 | H04L000932 | H04L001258 | H04L002906 | G06F002110 | G06F002112 | G06F002162,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Instant messaging private tags,Systems for instant messaging private tags preferably comprise a parser for parsing an instant message for sensitive data and an encryption engine for encrypting the sensitive data. A modified uuencoder is also preferably included for converting the encrypted sensitive data into a data stream that complies with an XML format. Other systems and methods are also provided.,The method involves transmitting the first message in the first data stream with a first set of private tags surrounding the first set of sensitive data. The first set of private tags identifies the first name and value pair. A second data stream is received and that includes parsing the second data stream to identify a second set of private tags surrounding a second set of sensitive data in a second message. The second set of sensitive data is decrypted (808) using a decryption type identified by a second name and value pair identified by the second set of private tags. | INDEPENDENT CLAIMS are also included for the following:an apparatus for deploying instant messaging private tags; anda computer readable medium storing computer program for instant messaging private tags. | Method for deploying instant messaging private tags. | The user of the system selectively chooses which information is encrypted before transmission over the communication network. | The drawing shows a flow chart depicting general functionality for implementing decrypting of encrypted sensitive data in a privatize message system. 803Step for decryption804Step for parsing for sensitive encrypted data806Step for running through modified uudecoding algorithm808Step for decrypting second set of sensitive data using a decryption type identified,
US9767690B2,"Agrawal, Laxmikant | Pratipati, Sudheer | Colle, Audrey | De Oliveira, Jose | Couckuyt, Jeff",2017-09-19,2014-11-19,"System for identifying available parking near a destination, and predicting the availability of the identified parking, comprises a model generating component that generates a prediction tree model based on the training data",12,CN111554119A | CN112185159A | US10446028B2 | US10477416B2 | US10861335B2 | US10991248B2 | US11081004B1 | US11172381B2 | US11631327B2 | US20190012914A1 | US20200105140A1 | US20220292972A1,G08G000114 | G08G000101,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Parking identification and availability prediction,A system includes a model generating component to generate a prediction tree model based on training data and an input component to receive input data including a destination in a geographical area. A computation component identifies at least one parking venue or at least one parking space near the destination in the geographical area and to generate at least one parking prediction corresponding to the at least one parking venue or the at least one parking space based at least in part on applying the input data to the prediction tree model. A presentation component presents the at least one parking venue or the at least one parking space and to present the at least one parking prediction to a user.,"The system (100) comprises a model generating component (102) that generates a prediction tree model (110) based on the training data. An input component (114) receives the input data with a destination in a geographical area. A computation component identifies the parking venue and the parking space in the geographical area. A presentation component (116) presents the parking venue and parking prediction to a user. A microprocessor executes computer-executable instructions associated with the model generating component. | An INDEPENDENT CLAIM is included for a method for identifying available parking near a destination, and predicting the availability of the identified parking. | System for identifying available parking near a destination, and predicting the availability of the identified parking. | The system comprises a model generating component that generates a prediction tree model based on the training data, and thus reduces the higher bandwidth usage when the user reaches the destination, improves the task completion by the user and also reduces the number of interactions required by a user to identify available parking venues and parking spaces and to predict the availability. | The drawing shows a block diagram of a parking identification and availability prediction system. 100Parking identification and availability prediction system102Model generating component110Model114Input component116Presentation component",
US9766349B1,"Madhow, Upamanyu | Irish, Andrew",2017-09-19,2016-12-30,"Method for determining location of user device, involves calculating probabilistic shadow matching estimate and calculating updated position estimate of user device based on calculated shadow matching estimates using non-linear filter",29,CN110068342A | CN110579780A | CN111025336A | CN111025336B | CN112444829A | CN112444829B | CN113010567A | CN113010567B | CN113504553A | CN113504553B | FR3106665A1 | FR3110974A1 | JP2022545327A | US10482369B2 | US11243311B2 | US11428822B2 | US11513234B2 | US11635505B2 | US11808863B2 | US11819305B1 | US11828857B2 | US11960012B2 | US20210341625A1 | US20220026219A1 | US20220252709A1 | US20230040113A1 | WO2021240102A1 | WO2022046214A1 | WO2023235447A1,G01S001940 | G01S001911 | G01S001922,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,"Localization and tracking using location, signal strength, and pseudorange data","A localization server improves position estimates of global navigation satellite systems (GNSS) using probabilistic shadow matching and pseudorange matching is disclosed herein. The localization server may utilize one or more of the following information: the locations of the satellites, the GNSS receiver's location estimate and associated estimated uncertainty, the reported pseudoranges of the satellites, the GNSS estimated clock bias, the SNRs of the satellites, and 3D environment information regarding the location of the receiver. The localization server utilizes a Bayesian framework to calculate an improved location estimate using the GNSS location fixes, pseudorange information, and satellite SNRs thereby improving localization and tracking for a user device.","The method involves accessing map information describing an environment surrounding a position fix location. A probabilistic shadow matching estimate is calculated for each of hypothesized user device (102) locations utilizing a signal strength data, a pseudorange data and the map information, where each of the probabilistic shadow matching estimates is determined in part by a pseudorange measurement model. An updated position estimate of the user device is calculated based on the calculated probabilistic shadow matching estimates using a non-linear filter. | An INDEPENDENT CLAIM is also included for a non-transitory computer readable storage medium comprising a set of instructions for performing a method for determining a location of a user device. | Method for determining a location of a user device. | The method enables allowing a particle filter to explore space surrounding the global navigation satellite systems fix position, thus allowing the particle filter to avoid becoming captured in local maximums. The method enables omitting higher order reflections in non line of sight pseudorange model to reduce computational complexity without significant loss in performance. The method enables ensuring that advanced particle filter is able to explore the space outside of confines of a motion model, which helps to avoid trapping of particle locations in local maxima, thus yielding significant system robustness. | The drawing shows a schematic diagram of a localization and tracking system. 102Hypothesized user device104a-104c, 108a-108cSatellites106Building110Point",
US9971024B2,"Schwarz, Brent S. | Haslim, James A. | Iturraran, Nicholas M. | Karasoff, Michael D.",2018-05-15,2017-06-20,"Light distance and ranging (LiDAR) sensor for measuring reflected electromagnetic pulse, has processor that is configured to adjust bias voltage to compensate for temperature changes of avalanche photodiode",2,US11536847B2 | US20210055406A1,G01S0007497 | G01S0007481 | G01S00074861 | G01S001714,,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Lidar scanner calibration,"A LiDAR sensor can include a laser configured to output electromagnetic pulses and an optical splitter positioned to split each of the electromagnetic pulses into (i) at least one calibration pulse, and (ii) at least one external pulse directed toward an object external from the LiDAR sensor. The LiDAR sensor can further include a photodetector configured to detect the at least one calibration pulse and a reflected pulse based on the at least one external pulse reflecting from the object. The LiDAR sensor can further include a processor configured to adjust a bias voltage of the photodetector based on the at least one calibration pulse.","The sensor (2) has laser (30) that is configured to emit a narrow electromagnetic pulse. An avalanche photodiode (60) is configured to receive electromagnetic pulses and output a response signal in response to the pulses. A splitter (36) is positioned to receive the pulse and split it into external pulse directed toward the object external from the sensor and calibration pulse directed toward photodiode. A processor is configured to adjust the bias voltage according to a response signal caused by the calibration pulse to compensate for temperature changes of the photodiode. | An INDEPENDENT CLAIM is included for a method for measuring a reflected electromagnetic pulse. | Light distance and ranging sensor for measuring reflected electromagnetic pulse mounted on other objects such as vehicle e.g. car, plane, bicycle and human-carried object e.g. on helmet and backpack or handle. | The avalanche photodiodes are often a good choice for the photodetector because they convert incident photons to electrical current with a high gain or multiplication factor. Thus high gain enables detection of dark and/or distant target surfaces. The sensor optionally can directly determine the avalanche photodiode's gain relationship to its bias voltage and enable its gain to be held constant without measuring its temperature and without suspending the sensor's range measurements. | The drawing shows a schematic view of a LiDAR sensor usable with a position sensing device. 2Light distance and ranging sensor30Laser32Power and communication cable36Splitter60Avalanche photodiode",
US9772399B2,"Schwarz, Brent S. | Haslim, James A. | Iturraran, Nicholas M. | Karasoff, Michael D.",2017-09-26,2016-05-13,"Light distance and ranging (LiDAR) sensor for measuring reflected electromagnetic pulse, has processor that is configured to adjust bias voltage to compensate for temperature changes of avalanche photodiode",13,EP4386431A1 | US10295656B1 | US10429495B1 | US11029394B2 | US11112493B2 | US11353556B2 | US11474207B2 | US11567210B2 | US11879999B2 | US11933967B2 | US11994618B2 | US20190302235A1 | WO2024126067A1,G01C002500 | G01S0007481 | G01S00074861 | G01S0007497 | G01S001714 | G01S001742,001001,"Uber Technologies Inc.,San Francisco,CA,US | Schwarz Brent S.,Redwood City,CA,US | Haslim James A.,Dublin,CA,US | Iturraran Nicholas M.,Orinda,CA,US | Karasoff Michael D.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US | Schwarz Brent S.,Redwood City,CA,US | Haslim James A.,Dublin,CA,US | Iturraran Nicholas M.,Orinda,CA,US | Karasoff Michael D.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,LiDAR scanner calibration,"A LiDAR can include a laser, an avalanche photodiode, a splitter, and a processor. The laser can be configured to emit a narrow electromagnetic pulse. The avalanche photodiode can be configured to receive one or more electromagnetic pulses and output a response signal in response to said pulses. The photodiode can also be positioned to receive at least one reflected pulse, reflected by an object external from the LiDAR sensor and caused by the laser. The avalanche photodiode can also have a bias voltage applied to it affecting the response signal. The splitter can be positioned to receive the narrow electromagnetic pulse and split it into at least one external pulse directed toward the object external from the LiDAR sensor and at least one calibration pulse directed toward the photodiode. The calibration pulse directed toward the photodiode can be received by the photodiode before the pulse reflected by the object. The processor can be configured to receive response signals from the photodiode. Further, the processor can be configured to adjust the bias voltage according to a response signal caused by the calibration pulse to compensate for temperature changes of the photodiode.  |  L'invention concerne un lidar qui peut inclure un laser, une photodiode en avalanche, un diviseur et un processeur. Le laser peut être configuré pour émettre une impulsion électromagnétique étroite. La photodiode en avalanche peut être configurée pour recevoir une ou plusieurs impulsion(s) électromagnétique(s) et produire un signal de réponse en réponse auxdites impulsions et peut aussi être positionnée pour recevoir au moins une impulsion réfléchie, réfléchie par un objet externe au capteur lidar et causée par le laser. Une tension de polarisation peut aussi être appliquée à la photodiode en avalanche, affectant le signal de réponse. Le diviseur peut être positionné pour recevoir l'impulsion électromagnétique étroite et la diviser en au moins une impulsion externe dirigée vers l'objet externe au capteur lidar et au moins une impulsion d'étalonnage dirigée vers la photodiode. En outre, le processeur peut être configuré pour régler la tension de polarisation.","The sensor (2) has laser (30) that is configured to emit a narrow electromagnetic pulse. An avalanche photodiode (60) is configured to receive electromagnetic pulses and output a response signal in response to the pulses. A splitter (36) is positioned to receive the pulse and split it into external pulse directed toward the object external from the sensor and calibration pulse directed toward photodiode. A processor is configured to adjust the bias voltage according to a response signal caused by the calibration pulse to compensate for temperature changes of the photodiode. | An INDEPENDENT CLAIM is included for a method for measuring a reflected electromagnetic pulse. | Light distance and ranging sensor for measuring reflected electromagnetic pulse mounted on other objects such as vehicle e.g. car, plane, bicycle and human-carried object e.g. on helmet and backpack or handle. | The avalanche photodiodes are often a good choice for the photodetector because they convert incident photons to electrical current with a high gain or multiplication factor. Thus high gain enables detection of dark and/or distant target surfaces. The sensor optionally can directly determine the avalanche photodiode's gain relationship to its bias voltage and enable its gain to be held constant without measuring its temperature and without suspending the sensor's range measurements. | The drawing shows a schematic view of a LiDAR sensor usable with a position sensing device. 2Light distance and ranging sensor30Laser32Power and communication cable36Splitter60Avalanche photodiode",
US9778057B2,"O'Mahony, Eoin | Nickels, John Mark | Goldman, Brent | Holden, Jeff",2017-10-03,2016-02-08,"Method for determining route scores and selecting route to transmit to provider, involves transmitting data of selected route from set of candidate routes to provider device by travel coordination system",21,US10242571B1 | US10281290B2 | US10427846B2 | US10489738B2 | US10535036B2 | US10592964B2 | US10733444B2 | US10839341B2 | US10902375B2 | US11009358B2 | US11087250B2 | US11087252B2 | US11176500B2 | US11182709B2 | US11293770B2 | US11514782B2 | US11605044B2 | US11836658B2 | US11854065B2 | US20220343395A1 | US20240070757A1,G01C002136,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Selecting a route to a destination based on zones,A travel coordination system provides suggestions to providers for where they should go to reduce the wait time between trips. A geographic region is broken down into zones and a score is generated for each zone. A zone score can be generated by determining the estimated wait time for the zone and generating a model for the wait time. A zone score can also be generated using a model for the wait time using factors that likely contribute to the wait time. The zone score for each zone is displayed to the provider on a road map of the geographic region along with the boundaries of each of the zones and the provider's position within the region. The travel coordination system also suggests driving routes. The travel coordination system selects a target zone and generates candidate routes to the zone. A route is selected based on route scores.,"The method involves receiving (310) a current location available to a rider from provider device at a travel coordination system. The destination for the provider is identified (320) and a set of candidate routes from the current location of provider is determined (330). A route score for candidate route is generated by identifying (340) a set of zones through which the candidate route passes. An estimated wait time for set of zones is determined (350). A route from set of candidate routes is selected (370) and data of selected route is transmitted (380) to the provider device. | An INDEPENDENT CLAIM is included for a non-transitory computer-readable storage medium storing instructions for determining route scores and selecting route to transmit to provider. | Method for determining route scores and selecting route to transmit to provider such as person driving car, bicycle, bus, truck, boat, or other motorized vehicle capable of transporting passengers. | The wait time of the provider is reduced by providing a route that quickly takes the provider to the destination when the destination is in a zone with a high zone score relative to the zones traveled by other candidate routes. A higher score for a route that reduces the travel time of the provider to the destination is generated easily. | The drawing shows a flowchart illustrating the method of determining route scores and selecting route to transmit to provider. 310Step of receiving current location of provider320Step of identifying destination for provider330Step of determining set of candidate routes340Step of identifying set of zones350Step of determining estimated wait time370Step of selecting route380Step of transmitting data of selected route",
US9778063B2,"Holden, Paul-Phillip | Sweeney, Matthew | Grosser, Jeremy",2017-10-03,2016-10-17,"Method for providing transport service for user, involves obtaining mapping information for region of location of interest, and determining content for map interface based on geographic information and mapping information",2,US10673945B2 | US20180131763A1,H04W002400 | G01C002136 | H04W0004021,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Determining location information using a location data point provided by a computing device,"A system and method for determining location information using a location data point provided by a computing device is described. A location data point is received by a system from a client computing device. The system determines whether the location data point is within a predefined region from a plurality of predefined regions configured by a user of the system. If the location data point is within a predefined region, location information corresponding to the predefined region is transmitted to the client device. If the location data point is not within a predefined region, one or more third-party reverse geocoding services can be used that translates the location data point to a street address.","The method involves selecting a reverse geocoding source from a set of reverse geocoding sources according to user preference associated with a computing device. A mapping source is selected from mapping sources. Geographic information about a region of the location of interest is obtained from the selected reverse geocoding source. Mapping information for the region of the location of interest is obtained from the selected mapping source. Content for a map interface is determined based on the geographic information and the mapping information. | Method for providing a transport service for a user. | The method enables performing location determination using a third-party reverse geocoding service as error value is determined to be high, thus reducing network bandwidth use and reducing a number of communications made to third-party reverse geocoding services without performing reverse geocoding process to determine corresponding address or location information for a received location data point. | The drawing shows a flow chart illustrating a method for determining location information. 255Step for receiving location data point from client device260Step for determining if location data point is within predefined region265Step for transmitting identified location information corresponding to predefined region to client device270Step for determining if third-party reverse geocoding service is available or accessible275Step for transmitting request to service If third-party reverse geocoding service is available or accessible",
US9785150B2,"Sibenac, Mark | Strother, Daniel | Tascione, Daniel | Jones, Morgan | Brindza, Jordan",2017-10-10,2015-12-11,"Method of operating sensor interface for first sensor apparatus of autonomous vehicle, involves formatting sensor data based on multiple sensor pulses to enable sensor data to be used for navigating autonomous vehicle",8,CN109577720A | US10077007B2 | US10306212B2 | US10412368B2 | US10967862B2 | US11731627B2 | US12007487B1 | US20170259753A1,G05D000100 | G05D000102 | G06K000900 | H04N001302,001001,"Uber Technologies Inc.,San Francisco,CA,US","Uber Technologies Inc.,San Francisco,CA,US ",UBER TECHNOLOGIES INC,Formatting sensor data for use in autonomous vehicle communications platform,"A sensor interface for an autonomous vehicle. The sensor interface generates a plurality of sensor pulses that are each offset in phase relative to a local clock signal by a respective amount. The sensor interface receives sensor data from a sensor apparatus and formats the sensor data based at least in part on the plurality of sensor pulses to enable the sensor data to be used for navigating the autonomous vehicle. For example, the sensor interface may add a timestamp to the sensor data indicating a timing of the sensor data in relation to the local clock signal.","The method involves dividing a clock cycle of a local clock signal into multiple timing intervals. Multiple sensor pulses are generated (910) based on frame rates or resolutions of each of the sensors of a first sensor apparatus. Each of the sensor pulses is aligned with a respective one of the timing intervals. The sensor data is received (920) from the first sensor apparatus. The sensor data is formatted (940) based on the sensor pulses to enable the sensor data to be used for navigating the autonomous vehicle. | INDEPENDENT CLAIMS are included for the following:a sensor interface for a first sensor apparatus of an autonomous vehicle; anda non-transitory computer-readable storage medium storing instructions for operating a sensor interface for a first sensor apparatus of an autonomous vehicle. | Method of operating a sensor interface for a first sensor apparatus of an autonomous vehicle. | The control system can reliably update a three-dimensional (3D) sensor image even when the vehicle is travelling at high speeds by controlling the precise times at which the sensor data is captured. A pulse per second (PPS) signal can be a highly accurate and reliable external timing signal with which to align the local clock signal. The sensor data is enabled to be quickly and accurately combined to generate 3D sensor images that can be used for navigating an autonomous vehicle. The activation of individual sensors is offset to prevent overloading the communication bandwidth of the vehicle control system. The vehicle can accurately detect the presence of objects in the environment, allowing the vehicle to safely navigate the route while avoiding collisions with other objects. The sensor synchronization system can enable the vehicle to accurately determine that the parking meters are fixed objects. The sensor synchronization system can enable the vehicle to accurately determine that the bicyclist and pedestrian are moving objects. The real-time communication interface can be optimized to communicate information instantly, in real-time to remote entities. | The drawing shows a flowchart illustrating operation for formatting sensor data for use by an autonomous vehicle platform. 910Step for generating multiple sensor pulses based on frame rates or resolutions of each of the sensors of a first sensor apparatus920Step for receiving sensor data from the first sensor apparatus930Step for determining sensor pulse that coincides with time at which sensor data is captured940Step for formatting sensor data based on the sensor pulses to enable the sensor data to be used for navigating the autonomous vehicle",
